127.0.0.1 - - [11/Dec/2019:10:55:00 +0900] "GET / HTTP/1.1" 404 1115
127.0.0.1 - - [11/Dec/2019:10:55:03 +0900] "GET /online-shopping-mall/top.jsp HTTP/1.1" 200 6518
127.0.0.1 - - [11/Dec/2019:10:55:03 +0900] "GET /online-shopping-mall/img/breadLogo.jpg HTTP/1.1" 200 47576
127.0.0.1 - - [11/Dec/2019:10:55:03 +0900] "GET /online-shopping-mall/css/top.css HTTP/1.1" 200 8244
127.0.0.1 - - [11/Dec/2019:10:55:03 +0900] "GET /online-shopping-mall/css/reset.css HTTP/1.1" 200 1161
127.0.0.1 - - [11/Dec/2019:10:55:03 +0900] "GET /online-shopping-mall/js/top.js HTTP/1.1" 200 5812
127.0.0.1 - - [11/Dec/2019:10:55:04 +0900] "GET /online-shopping-mall/font/NotoSansCJKkr-Bold.otf HTTP/1.1" 200 17027920
127.0.0.1 - - [11/Dec/2019:10:55:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
127.0.0.1 - - [11/Dec/2019:11:07:45 +0900] "GET /online-shopping-mall/top.jsp HTTP/1.1" 200 6518
127.0.0.1 - - [11/Dec/2019:11:07:45 +0900] "GET /online-shopping-mall/css/reset.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:11:07:45 +0900] "GET /online-shopping-mall/css/top.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:11:07:45 +0900] "GET /online-shopping-mall/js/top.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:11:07:45 +0900] "GET /online-shopping-mall/img/breadLogo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:11:07:45 +0900] "GET /online-shopping-mall/font/NotoSansCJKkr-Bold.otf HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:11:07:49 +0900] "GET /online-shopping-mall/img/loginFormBg.jpeg HTTP/1.1" 200 9903
127.0.0.1 - - [11/Dec/2019:13:04:01 +0900] "GET /online-shopping-mall/search.jsp HTTP/1.1" 500 3021
127.0.0.1 - - [11/Dec/2019:13:04:05 +0900] "GET /online-shopping-mall/search.jsp HTTP/1.1" 500 3021
127.0.0.1 - - [11/Dec/2019:13:04:05 +0900] "GET /online-shopping-mall/search.jsp HTTP/1.1" 500 3021
127.0.0.1 - - [11/Dec/2019:13:04:12 +0900] "GET /online-shopping-mall/top.jsp HTTP/1.1" 200 6518
127.0.0.1 - - [11/Dec/2019:13:04:13 +0900] "GET /online-shopping-mall/css/reset.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:13:04:13 +0900] "GET /online-shopping-mall/css/top.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:13:04:13 +0900] "GET /online-shopping-mall/js/top.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:13:04:13 +0900] "GET /online-shopping-mall/img/breadLogo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:13:04:13 +0900] "GET /online-shopping-mall/font/NotoSansCJKkr-Bold.otf HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:13:04:15 +0900] "GET /online-shopping-mall/search.jsp?searchValue=d HTTP/1.1" 200 12
127.0.0.1 - - [11/Dec/2019:17:24:12 +0900] "GET /online-shopping-mall/top.jsp HTTP/1.1" 200 6518
127.0.0.1 - - [11/Dec/2019:17:24:13 +0900] "GET /online-shopping-mall/css/reset.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:17:24:13 +0900] "GET /online-shopping-mall/css/top.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:17:24:13 +0900] "GET /online-shopping-mall/img/breadLogo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:17:24:13 +0900] "GET /online-shopping-mall/js/top.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:17:24:13 +0900] "GET /online-shopping-mall/font/NotoSansCJKkr-Bold.otf HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2019:17:24:15 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
